chr1	14448	14944	14639
chr1	17675	17883	17759
chr1	135126	135898	135283
chr1	138121	138648	138294
chr1	324413	324929	324583
chr1	325459	326111	325849
chr1	327459	328259	328006
chr1	564369	564773	564652
chr1	565596	565829	565678
chr1	568999	569591	569340
chr1	661463	661887	661709
chr1	661983	662284	662134
chr1	663620	664082	663775
chr1	664389	664670	664511
chr1	664936	665196	665025
chr1	855878	856185	856032
chr1	990348	991098	990511
chr1	1000926	1001389	1001222
chr1	1017706	1018229	1017860
chr1	1169254	1169478	1169388
chr1	1169866	1170236	1170049
chr1	1190360	1190846	1190609
chr1	1254275	1254941	1254649
chr1	1263088	1263381	1263253
chr1	1263603	1264167	1263837
chr1	1288405	1288719	1288530
chr1	1296633	1296997	1296850
chr1	1322342	1322778	1322594
chr1	1354420	1354694	1354558
chr1	1374407	1374737	1374587
chr1	1375120	1376008	1375622
chr1	1470607	1470845	1470734
chr1	1533501	1534059	1533698
chr1	1596607	1597249	1596785
chr1	1682829	1683104	1682976
chr1	2160832	2161095	2160960
chr1	2238429	2238856	2238611
chr1	2239595	2239820	2239721
chr1	2324203	2324461	2324332
chr1	2494522	2495148	2494871
chr1	3379668	3380091	3379939
chr1	3405611	3405872	3405723
chr1	3406685	3406973	3406848
chr1	6284722	6285287	6284899
chr1	6309022	6309253	6309099
chr1	6653333	6653771	6653548
chr1	6681586	6681881	6681706
chr1	6692941	6693312	6693142
chr1	8073246	8073895	8073471
chr1	8074043	8074379	8074203
chr1	8390626	8390943	8390790
chr1	8934942	8935157	8935038
chr1	8938654	8938857	8938748
chr1	9210803	9211098	9210946
chr1	9304966	9305373	9305216
chr1	9329004	9329385	9329182
chr1	9330618	9330883	9330760
chr1	9415802	9416601	9416446
chr1	9427363	9427798	9427525
chr1	9427372	9427880	9427653
chr1	9790339	9790880	9790698
chr1	10689744	10690039	10689885
chr1	11083343	11083607	11083506
chr1	11083775	11083991	11083884
chr1	11850290	11850671	11850434
chr1	12034636	12035434	12035201
chr1	12268590	12269211	12269048
chr1	12628146	12628352	12628242
chr1	15545924	15546794	15546108
chr1	16053476	16054165	16053674
chr1	16265972	16266396	16266157
chr1	16451184	16451617	16451322
chr1	16577228	16577553	16577366
chr1	16721598	16721845	16721729
chr1	17734721	17734968	17734870
chr1	18023675	18024051	18023825
chr1	19655065	19655658	19655385
